Time,Lane,Delay_s,Saturation,Queue_m,Inflow_PCU_h,Outflow_PCU_h,Avg_Queue
66,156084447#2.35_0,0.0,0.41,0.0,736.36,545.45,0.67
66,156084447#2.35_1,11.86,0.42,0.0,354.55,354.55,0.32
66,156084447#2.35_2,11.23,0.32,0.0,272.73,218.18,0.07
66,537517150#2_0,0.0,0.35,0.0,627.27,518.18,0.08
66,537517150#2_1,13.28,0.54,0.0,436.36,381.82,0.0
66,537517150#2_2,11.87,0.34,0.0,272.73,272.73,0.08
66,156084437#2.76_0,0.0,0.17,0.0,300.0,300.0,0.73
66,156084437#2.76_1,9.69,0.03,0.0,27.27,27.27,0.0
66,156084437#2.76_2,9.69,0.03,0.0,27.27,0.0,0.0
66,-156084515#1.105_0,0.0,0.08,0.0,136.36,54.55,0.05
132,156084447#2.35_0,0.0,0.03,0.0,54.55,190.91,0.01
132,156084447#2.35_1,13.68,0.0,0.0,0.0,0.0,0.0
132,156084447#2.35_2,13.68,0.0,0.0,0.0,54.55,0.0
132,537517150#2_0,0.0,0.27,0.0,490.91,545.45,0.08
132,537517150#2_1,6.37,0.28,0.0,300.0,300.0,0.61
132,537517150#2_2,5.94,0.18,0.0,190.91,190.91,0.24
132,156084437#2.76_0,0.0,0.33,0.0,600.0,409.09,0.07
132,156084437#2.76_1,15.29,0.29,0.0,190.91,109.09,0.05
132,156084437#2.76_2,14.56,0.17,0.0,109.09,81.82,0.0
132,-156084515#1.105_0,0.0,0.45,0.0,818.18,900.0,0.58
198,156084447#2.35_0,0.0,0.3,0.0,545.45,436.36,0.43
198,156084447#2.35_1,15.92,0.05,0.0,27.27,27.27,0.11
198,156084447#2.35_2,15.68,0.0,0.0,0.0,0.0,0.0
198,537517150#2_0,0.0,0.28,0.0,518.18,572.73,0.08
198,537517150#2_1,5.98,0.42,0.0,490.91,490.91,0.27
198,537517150#2_2,4.96,0.19,0.0,218.18,0.0,0.73
198,156084437#2.76_0,0.0,0.36,0.0,654.55,736.36,1.51
198,156084437#2.76_1,18.37,0.52,0.0,300.0,381.82,0.55
198,156084437#2.76_2,17.43,0.38,0.0,218.18,272.73,0.64
198,-156084515#1.105_0,0.0,0.2,0.0,354.55,245.45,0.05
264,156084447#2.35_0,0.0,0.21,0.0,381.82,518.18,0.78
264,156084447#2.35_1,17.52,0.34,0.0,190.91,190.91,0.0
264,156084447#2.35_2,17.52,0.34,0.0,190.91,163.64,0.87
264,537517150#2_0,0.0,0.28,0.0,518.18,518.18,0.06
264,537517150#2_1,6.86,0.38,0.0,409.09,409.09,0.34
264,537517150#2_2,6.61,0.33,0.0,354.55,490.91,1.51
264,156084437#2.76_0,0.0,0.21,0.0,381.82,436.36,0.42
264,156084437#2.76_1,16.86,0.28,0.0,163.64,163.64,0.0
264,156084437#2.76_2,16.86,0.28,0.0,163.64,163.64,0.58
264,-156084515#1.105_0,0.0,0.28,0.0,518.18,463.64,0.48
330,156084447#2.35_0,0.0,0.21,0.0,381.82,245.45,0.43
330,156084447#2.35_1,8.79,0.18,0.0,163.64,163.64,0.0
330,156084447#2.35_2,8.79,0.18,0.0,163.64,81.82,0.23
330,537517150#2_0,0.0,0.36,0.0,654.55,654.55,0.08
330,537517150#2_1,13.73,0.63,0.0,518.18,572.73,0.58
330,537517150#2_2,13.18,0.56,0.0,463.64,545.45,1.5
330,156084437#2.76_0,0.0,0.3,0.0,545.45,409.09,0.39
330,156084437#2.76_1,9.25,0.27,0.0,245.45,218.18,0.05
330,156084437#2.76_2,9.09,0.24,0.0,218.18,109.09,0.33
330,-156084515#1.105_0,0.0,0.27,0.0,490.91,572.73,2.41
396,156084447#2.35_0,0.0,0.17,0.0,300.0,327.27,0.67
396,156084447#2.35_1,11.7,0.04,0.0,27.27,27.27,0.0
396,156084447#2.35_2,11.7,0.04,0.0,27.27,109.09,0.36
396,537517150#2_0,0.0,0.36,0.0,654.55,627.27,0.08
396,537517150#2_1,10.53,0.47,0.0,436.36,327.27,0.01
396,537517150#2_2,8.79,0.18,0.0,163.64,136.36,0.0
396,156084437#2.76_0,0.0,0.32,0.0,572.73,627.27,0.28
396,156084437#2.76_1,13.21,0.26,0.0,190.91,218.18,0.27
396,156084437#2.76_2,12.38,0.11,0.0,81.82,136.36,0.7
396,-156084515#1.105_0,0.0,0.26,0.0,463.64,545.45,0.89
462,156084447#2.35_0,0.0,0.32,0.0,572.73,681.82,0.45
462,156084447#2.35_1,19.71,0.67,2.3,436.36,354.55,0.19
462,156084447#2.35_2,16.1,0.42,0.0,272.73,300.0,0.27
462,537517150#2_0,0.0,0.39,0.0,709.09,627.27,0.08
462,537517150#2_1,9.42,0.54,0.0,545.45,654.55,0.2
462,537517150#2_2,8.31,0.33,0.0,327.27,354.55,0.43
462,156084437#2.76_0,0.0,0.21,0.0,381.82,409.09,0.58
462,156084437#2.76_1,14.69,0.25,0.0,163.64,163.64,0.12
462,156084437#2.76_2,13.99,0.12,0.0,81.82,109.09,0.35
462,-156084515#1.105_0,0.0,0.26,0.0,463.64,436.36,0.2
528,156084447#2.35_0,0.0,0.06,0.0,109.09,136.36,0.02
528,156084447#2.35_1,8.76,0.06,0.0,54.55,136.36,0.0
528,156084447#2.35_2,9.19,0.15,0.0,136.36,136.36,0.27
528,537517150#2_0,0.0,0.08,0.0,136.36,245.45,0.02
528,537517150#2_1,11.45,0.11,0.0,81.82,81.82,0.5
528,537517150#2_2,11.28,0.07,0.0,54.55,54.55,0.28
528,156084437#2.76_0,0.0,0.27,0.0,490.91,600.0,0.23
528,156084437#2.76_1,10.12,0.28,0.0,245.45,245.45,0.16
528,156084437#2.76_2,9.04,0.12,0.0,109.09,136.36,0.34
528,-156084515#1.105_0,0.0,0.28,0.0,518.18,245.45,1.43
