Episode,Reward,Critic_Loss,Time_Sec,CPU_Percent,RAM_Percent
1,-16738.12,8358995.625,1.48,97.1,48.7
2,-16661.77,7979882.375,1.48,98.2,48.9
3,-15799.52,7725720.125,1.4,100.0,48.9
4,-17080.04,8529771.75,1.45,94.9,48.9
5,-15649.14,7527750.25,1.37,100.0,49.0
6,-15816.08,7128039.5,1.42,98.3,49.1
7,-16385.53,7732115.0,1.42,100.0,49.1
8,-15109.11,7440420.25,1.38,100.0,49.1
9,-16655.93,8405093.0,1.41,100.0,49.1
10,-17212.02,8968925.0,1.43,100.0,48.9
11,-17564.02,9312763.0,1.43,100.0,48.9
12,-16283.36,7482585.25,1.43,100.0,48.9
13,-15954.8,7340022.875,1.39,99.0,48.9
14,-15678.92,7823556.25,1.37,100.0,48.9
15,-16992.0,8408618.75,1.47,97.1,49.0
16,-16378.25,7945094.0,1.46,89.1,49.1
17,-15250.02,7565964.375,1.4,92.3,49.5
18,-16914.99,8350444.625,1.46,99.2,49.6
19,-16393.27,8641751.0,1.43,100.0,49.9
20,-16515.01,8118315.625,1.48,100.0,49.8
21,-15807.5,7292679.875,1.44,93.5,49.9
22,-15672.44,7421269.375,1.41,100.0,49.9
23,-15770.18,6868191.625,1.41,100.0,50.0
24,-17254.61,7966288.75,1.49,100.0,50.1
25,-15303.68,7332264.125,1.36,100.0,50.0
26,-18290.16,9082467.5,1.49,99.1,50.1
27,-15969.11,7740841.625,1.41,100.0,50.0
28,-15535.34,7045054.375,1.42,100.0,49.9
29,-15583.91,7434562.25,1.45,100.0,50.1
30,-16584.91,8176467.0,1.48,100.0,50.0
31,-15823.18,7116006.0,1.44,99.5,50.4
32,-14852.55,6697594.0,1.44,100.0,50.3
33,-16466.68,7874188.0,1.46,96.1,50.3
34,-16080.03,7819232.5,1.46,100.0,50.3
35,-15097.19,6921606.25,1.44,100.0,50.3
36,-15643.13,6875588.5,1.47,100.0,50.3
37,-15796.46,7349235.5,1.46,100.0,50.4
38,-15897.39,6906476.75,1.44,100.0,50.5
39,-15162.02,7270761.125,1.38,100.0,50.6
40,-15434.57,7154101.625,1.43,100.0,50.9
41,-16144.58,7850276.5,1.45,99.8,50.8
42,-15253.94,7130628.5,1.39,100.0,51.1
43,-16845.16,8458832.75,1.45,100.0,51.5
44,-16053.37,7728620.375,1.5,100.0,51.8
45,-15156.91,6986191.0,1.41,100.0,51.9
46,-15876.35,7542464.75,1.45,100.0,51.9
47,-15191.46,7239152.0,1.42,100.0,51.9
48,-15310.05,7421584.75,1.42,99.9,51.9
49,-15842.14,6714942.625,1.5,100.0,52.1
50,-15981.64,6915814.25,1.54,100.0,52.2
51,-15577.66,7804939.5,1.55,100.0,52.1
52,-16322.6,7783865.875,1.52,100.0,52.1
53,-15230.97,7116015.125,1.57,99.9,52.1
54,-14724.92,6755986.75,1.54,100.0,52.5
55,-15189.96,6941250.0,1.38,100.0,52.4
56,-16205.15,7098951.0,1.52,100.0,52.5
57,-15259.02,7516319.375,1.59,100.0,52.6
58,-16389.52,7801298.875,1.55,100.0,52.4
59,-15796.87,6898775.125,1.43,100.0,52.4
60,-15285.18,7102409.0,1.41,100.0,52.5
61,-16859.58,7556256.25,1.5,100.0,52.5
62,-16380.22,8243172.25,1.47,100.0,52.6
63,-16188.7,7750567.375,1.47,100.0,52.6
64,-15601.46,7099400.125,1.49,98.1,52.6
65,-15132.5,7013639.25,1.49,100.0,52.7
66,-15279.88,6961481.0,1.48,100.0,52.7
67,-14939.05,7257208.0,1.45,100.0,52.7
68,-14948.95,6632988.375,1.48,100.0,52.9
69,-14820.03,6877142.125,1.39,100.0,52.9
70,-14656.69,6536163.0,1.36,100.0,52.9
71,-14732.94,6691225.25,1.42,100.0,52.9
72,-16032.53,7858379.75,1.44,100.0,53.0
73,-15263.2,6700027.5,1.41,100.0,53.0
74,-15114.0,6469645.0,1.44,100.0,53.0
75,-15758.53,7670790.0,1.44,100.0,53.2
76,-15205.67,6887864.5,1.52,100.0,53.1
77,-16125.76,7445133.25,1.6,100.0,53.1
78,-15322.37,6936651.875,1.48,100.0,53.0
79,-16091.83,6924486.25,1.54,100.0,53.0
80,-15106.4,6959524.375,1.48,100.0,53.1
81,-15056.84,6992138.0,1.48,100.0,53.2
82,-14933.35,6901353.5,1.44,100.0,53.2
83,-14556.96,6725325.5,1.43,100.0,53.1
84,-15058.57,7030347.875,1.47,100.0,53.1
85,-15053.44,6795831.75,1.43,100.0,53.2
86,-16146.91,7751162.875,1.47,100.0,52.8
87,-14700.51,6733025.875,1.47,98.6,53.1
88,-15594.46,6849274.375,1.49,100.0,53.1
89,-15178.45,6774960.25,1.43,100.0,53.1
90,-15452.93,7344511.375,1.49,100.0,53.1
91,-15341.24,7507677.0,1.53,100.0,53.1
92,-15996.6,7389044.25,1.56,100.0,53.2
93,-15175.85,6825723.0,1.39,100.0,53.1
94,-15898.04,7558271.125,1.48,100.0,53.2
95,-15058.93,7016780.625,1.44,100.0,53.2
96,-14673.75,6502138.375,1.4,100.0,53.2
97,-15786.81,6805644.875,1.44,100.0,53.2
98,-15071.61,6960936.375,1.44,100.0,53.3
99,-15276.62,6297023.125,1.45,100.0,53.2
100,-15896.97,6997434.75,1.5,100.0,53.3
101,-15702.78,7429964.125,1.48,100.0,53.4
102,-15459.86,6482043.375,1.49,100.0,53.3
103,-15592.04,7152574.625,1.49,100.0,53.3
104,-15335.99,7022979.125,1.42,100.0,53.3
105,-15699.82,7134189.625,1.46,100.0,53.3
106,-14556.11,6824064.5,1.44,100.0,53.4
107,-15445.97,6858072.875,1.56,100.0,53.5
108,-15332.04,6600888.375,1.51,97.9,53.6
109,-15423.96,6554602.75,1.49,100.0,53.6
110,-15808.24,7426179.875,1.49,100.0,53.6
111,-14964.35,6409191.0,1.42,100.0,54.4
112,-15562.27,7155305.375,1.41,99.4,54.2
113,-14677.73,6581137.125,1.4,100.0,54.2
114,-15293.49,6776363.125,1.47,100.0,54.2
115,-15317.09,6974351.375,1.47,100.0,54.2
116,-15564.13,6532472.25,1.46,100.0,54.1
117,-14975.36,6576584.375,1.49,100.0,54.0
118,-15213.4,6862419.875,1.47,97.8,54.1
119,-15528.14,7501927.125,1.42,100.0,54.1
120,-15330.81,6636034.375,1.43,100.0,54.2
121,-15929.63,6895301.75,1.47,100.0,54.2
122,-14971.16,6734760.0,1.39,100.0,53.7
123,-15172.52,6986865.375,1.43,100.0,53.6
124,-14726.5,6668768.25,1.45,100.0,53.7
125,-15856.0,7416327.375,1.52,100.0,53.8
126,-16651.41,7185644.25,1.49,100.0,53.8
127,-14591.26,6744875.875,1.44,100.0,53.7
128,-15795.29,7227598.125,1.57,99.9,53.7
129,-14949.71,6751495.875,1.45,100.0,53.8
130,-14800.44,6491638.25,1.44,100.0,53.8
131,-14786.65,6588617.5,1.46,100.0,53.9
132,-15500.07,7051999.875,1.43,100.0,53.9
133,-15552.96,6455852.75,1.51,100.0,53.9
134,-15680.51,6712699.5,1.48,100.0,53.8
135,-15807.16,6761147.125,1.5,100.0,53.9
136,-16487.8,7513719.375,1.5,100.0,53.9
137,-15543.75,6587554.125,1.47,100.0,54.0
138,-15111.25,6805846.875,1.4,100.0,54.0
139,-17013.83,8030688.0,1.5,100.0,54.0
140,-16133.3,6778419.25,1.53,100.0,54.0
141,-15256.08,7014828.75,1.51,100.0,53.9
142,-15437.17,6355926.875,1.53,100.0,53.9
143,-15261.45,6578834.5,1.45,100.0,54.1
144,-15691.92,6895248.5,1.5,100.0,54.0
145,-14726.24,6625463.5,1.39,100.0,54.0
146,-14923.05,6849950.625,1.43,100.0,53.8
147,-14740.05,6385937.875,1.44,100.0,53.9
148,-15242.73,6876430.375,1.49,100.0,54.0
149,-15245.75,6323236.5,1.45,100.0,54.1
150,-15575.12,6423309.875,1.5,100.0,53.9
151,-14777.01,6745035.75,1.6,100.0,53.9
152,-15410.18,6397977.625,1.53,100.0,54.0
153,-15592.31,6508561.0,1.43,100.0,54.0
154,-14969.01,6599782.875,1.47,100.0,54.1
155,-15250.8,6440236.125,1.52,100.0,53.9
156,-14892.12,6624673.875,1.41,100.0,53.9
157,-15999.21,7316368.125,1.5,100.0,53.9
158,-15114.89,6805031.375,1.45,100.0,54.1
159,-15718.75,6265104.5,1.42,100.0,54.1
160,-14708.47,6743303.0,1.45,100.0,54.2
161,-14547.04,6554267.875,1.4,100.0,54.1
162,-15327.66,6662555.375,1.45,100.0,54.1
163,-15111.49,6391045.125,1.48,100.0,54.2
164,-15354.45,6990051.0,1.57,100.0,54.2
165,-14264.88,6443774.625,1.47,100.0,54.3
166,-15059.63,6570748.5,1.43,100.0,54.3
167,-14900.43,6626317.0,1.43,100.0,54.3
168,-15968.3,7320713.625,1.54,100.0,54.3
169,-14665.92,6313528.625,1.42,100.0,53.9
170,-15340.44,6811279.0,1.51,100.0,53.9
171,-14777.63,6403267.375,1.49,96.9,54.3
172,-15208.71,7050190.625,1.45,100.0,54.2
173,-15022.04,6355310.25,1.45,100.0,54.2
174,-15257.87,6083789.875,1.54,98.9,54.4
175,-15370.59,6125116.0,1.49,100.0,54.4
176,-14547.47,6294782.75,1.44,100.0,54.5
177,-16237.69,6461141.625,1.51,100.0,54.5
178,-15022.05,6462680.0,1.47,100.0,54.4
179,-14362.2,6402583.0,1.49,100.0,54.4
180,-16505.28,6744652.0,1.48,100.0,54.4
181,-15404.78,6338282.125,1.46,100.0,54.5
182,-15233.51,6914820.625,1.53,100.0,54.5
183,-14749.62,6374116.375,1.44,100.0,54.4
184,-15157.45,6476262.875,1.45,100.0,54.4
185,-15004.51,6645951.625,1.48,100.0,54.4
186,-15437.19,6237205.5,1.48,100.0,54.3
187,-15386.13,6549742.625,1.47,100.0,54.3
188,-14981.98,6343410.875,1.42,100.0,54.4
189,-15194.0,6613767.125,1.42,100.0,54.4
190,-16373.16,7639833.5,1.47,100.0,54.4
191,-14876.7,6463486.125,1.42,100.0,54.4
192,-15176.69,6173592.125,1.45,100.0,54.3
193,-15381.23,6350683.75,1.48,100.0,54.3
194,-14859.06,6139242.0,1.44,98.9,54.4
195,-14527.5,6246529.5,1.57,100.0,54.2
196,-14930.52,6215391.25,1.4,100.0,54.2
197,-14692.86,6084534.25,1.52,100.0,54.2
198,-14693.17,6484224.5,1.53,99.1,54.1
199,-14549.99,6152584.625,1.46,100.0,54.2
200,-14856.46,6278120.25,1.55,100.0,54.0
