Episode,Reward,Critic_Loss,Time_Sec,CPU_Percent,RAM_Percent
1,-162.6,672.5108,28.96,89.6,29.7
2,-188.37,852.6533,26.31,94.9,29.8
3,-159.99,694.5701,36.07,96.4,29.8
4,-166.41,675.9651,4.42,75.2,29.8
5,-168.31,721.7823,32.57,99.8,29.8
6,-171.39,683.2247,31.6,95.4,29.9
7,-162.35,676.9777,21.97,94.0,29.8
8,-162.74,623.1801,15.58,99.6,29.8
9,-164.91,695.402,16.95,92.8,29.9
10,-168.33,697.8285,11.87,90.4,29.9
11,-168.74,630.5333,17.19,99.7,29.9
12,-163.44,626.5938,33.39,96.3,29.9
13,-171.98,643.5317,32.98,97.2,29.9
14,-164.59,624.334,4.56,74.8,29.9
15,-171.05,637.6682,24.87,97.8,29.9
16,-155.28,592.9593,33.16,96.7,29.9
17,-157.24,587.5331,33.43,96.0,30.0
18,-172.61,699.0662,10.82,88.8,30.0
19,-167.08,705.7488,24.86,99.9,30.0
20,-167.53,670.935,34.88,96.9,30.0
21,-164.0,691.7804,20.44,94.8,30.0
22,-168.95,592.2881,15.17,93.3,30.0
23,-158.13,560.1864,6.77,79.2,30.0
24,-163.53,563.0217,8.45,98.8,30.3
25,-169.28,644.2519,36.48,97.8,30.1
26,-169.84,575.1681,22.27,95.6,30.1
27,-167.02,587.5293,14.03,99.5,30.1
28,-171.13,554.2254,35.38,97.2,30.1
29,-158.59,534.6365,15.54,90.4,30.1
30,-164.45,555.393,21.39,99.9,30.1
31,-161.36,570.0972,43.26,97.5,30.7
32,-168.87,540.3403,39.3,99.3,30.3
33,-161.63,497.626,34.52,97.1,30.2
34,-166.66,570.486,23.95,96.5,30.2
35,-160.24,484.6948,13.92,91.5,30.2
36,-167.22,544.7716,4.69,79.3,30.3
37,-165.71,516.2261,13.87,91.8,30.3
38,-161.36,478.3345,18.57,99.7,30.3
39,-164.48,428.1113,34.2,96.8,30.3
40,-166.73,495.9222,4.75,75.9,30.3
41,-157.58,439.8369,22.52,96.7,30.4
42,-155.53,425.1784,24.73,94.5,30.2
43,-157.59,423.9664,11.97,99.4,30.2
44,-167.89,440.1295,50.95,97.2,30.8
45,-146.6,379.1208,53.07,100.0,30.8
46,-169.52,514.7871,49.18,100.0,30.8
47,-150.26,378.2277,53.83,100.0,30.9
48,-162.09,428.7373,54.7,100.0,30.9
49,-161.94,420.5156,53.62,100.0,30.9
