Episode,Reward,Critic_Loss,Time_Sec,CPU_Percent,RAM_Percent
1,-17933.96,9188996.25,1.46,53.6,46.6
2,-17711.08,9596269.25,1.45,74.8,46.7
3,-19215.42,10829283.0,1.55,77.9,46.7
4,-18572.61,11959416.75,1.44,72.5,46.8
5,-17984.56,12287515.75,1.37,68.9,46.8
6,-19704.16,11678262.5,1.43,67.7,46.6
7,-18099.05,8998161.75,1.41,73.4,46.7
8,-18004.37,10565595.0,1.42,75.4,46.8
9,-17617.49,10976291.5,1.41,74.3,46.8
10,-17608.82,10522045.0,1.47,74.8,46.9
11,-17128.85,10212170.0,1.52,78.0,47.0
12,-17261.77,9659109.0,1.49,79.4,47.3
13,-18278.92,11238078.5,1.57,75.2,47.6
14,-17747.87,8910389.75,1.42,74.9,47.8
15,-18155.72,10056702.25,1.42,93.1,47.8
16,-18593.8,10485780.0,1.43,90.1,47.8
17,-17661.03,9517615.25,1.4,86.9,47.7
18,-18119.97,11572672.25,1.46,86.7,47.7
19,-18945.38,11894206.5,1.53,89.3,47.7
20,-18457.77,9666795.0,1.53,83.4,47.8
21,-19743.9,11417085.75,1.48,76.7,47.9
22,-19185.43,11317781.75,1.46,82.6,47.9
23,-17464.15,9830572.75,1.44,91.1,47.9
24,-17762.54,9994415.25,1.49,96.2,48.5
25,-18675.27,10620198.25,1.48,92.7,48.7
26,-17630.17,9006705.75,1.44,87.5,48.8
27,-19641.66,10650382.25,1.47,89.6,48.5
28,-18303.09,11619183.25,1.35,89.0,48.5
29,-19085.73,11484521.75,1.45,90.0,48.6
30,-18191.63,10299213.0,1.44,97.0,49.1
31,-17616.0,9442373.0,1.44,94.1,49.3
32,-19409.41,11573645.0,1.5,92.1,49.4
33,-17889.9,9141206.25,1.45,99.7,49.3
34,-18835.72,11340980.0,1.45,100.0,49.3
35,-18961.69,11735627.5,1.49,95.5,49.4
36,-19543.77,11828845.75,1.47,76.6,49.4
37,-18678.51,10882094.0,1.45,96.4,49.4
38,-17072.86,10112960.0,1.51,94.0,49.3
