Episode,Reward,Critic_Loss,Time_Sec,CPU_Percent,RAM_Percent
1,-216.91,1176.5804,30.35,85.9,29.7
2,-214.68,1187.9201,26.27,94.9,29.8
3,-210.09,1118.6607,6.33,80.1,30.0
4,-218.33,1068.7193,30.77,99.9,29.8
5,-218.73,1174.3365,36.3,96.7,29.8
6,-215.63,1064.3563,32.7,95.5,29.8
7,-221.4,1130.8766,36.72,96.4,29.8
8,-211.16,1197.984,13.63,90.7,29.9
9,-221.94,1134.888,6.49,88.9,29.9
10,-214.54,1145.419,25.6,98.4,29.9
11,-213.44,1055.1124,33.13,96.1,29.9
12,-204.8,1095.2685,28.43,96.7,29.9
13,-213.89,1158.8385,6.42,96.1,29.9
14,-208.6,1083.1884,27.99,94.8,29.9
15,-212.2,1062.5896,33.22,96.6,29.9
16,-227.01,1133.2269,34.03,96.1,30.0
17,-212.55,1111.55,32.44,96.2,30.0
18,-209.73,942.8285,12.07,91.3,30.0
19,-207.5,986.0461,25.96,99.9,29.9
20,-206.64,995.5833,20.04,94.7,30.0
21,-219.74,1192.3682,15.13,93.4,30.0
22,-212.77,1110.0842,10.42,86.1,30.0
23,-190.69,871.9975,6.5,94.0,30.4
24,-212.36,943.4175,36.13,98.7,30.1
25,-204.89,990.7204,32.2,97.0,30.1
26,-202.31,962.4517,11.17,90.9,30.1
27,-208.15,1016.0227,27.13,99.9,30.1
28,-207.97,860.5916,35.88,95.9,30.1
29,-211.17,986.6409,42.3,97.4,30.7
30,-214.08,1013.3375,41.45,99.4,30.2
31,-210.99,967.5467,32.91,96.9,30.2
32,-214.77,1000.1899,24.94,96.6,30.2
33,-212.83,1057.8496,9.14,87.1,30.2
34,-204.47,921.179,6.97,96.9,30.2
35,-207.14,908.9774,5.29,75.7,30.2
36,-206.11,914.301,29.1,97.8,30.3
37,-215.25,961.001,31.42,96.4,30.3
38,-205.0,892.4868,5.82,90.9,30.3
39,-205.64,851.8534,25.53,94.6,30.4
40,-215.92,957.9111,36.11,96.1,30.3
41,-194.46,746.297,42.54,96.5,30.8
42,-215.88,905.1933,52.16,100.0,30.8
43,-194.55,703.565,52.99,100.0,30.9
44,-203.17,851.6589,55.12,100.0,30.9
45,-204.9,767.6534,53.08,100.0,30.9
46,-199.96,775.5867,54.06,100.0,30.9
47,-214.64,879.0587,52.82,100.0,30.9
48,-200.66,722.6331,51.78,100.0,30.9
49,-212.06,812.9033,51.59,100.0,30.9
50,-215.55,877.5502,55.24,100.0,30.9
51,-211.11,668.4875,52.52,99.2,30.9
52,-225.35,798.9121,6.87,95.5,30.9
53,-210.21,692.3623,58.16,99.4,30.9
54,-209.33,768.3842,47.92,98.1,31.0
55,-208.15,696.1362,8.2,94.9,30.9
56,-219.19,753.4678,55.73,99.1,30.9
57,-220.01,673.5333,63.36,98.6,31.5
58,-219.46,797.7567,68.39,99.0,31.6
59,-225.0,802.1153,69.37,100.0,31.6
60,-204.33,628.0152,67.3,100.0,31.6
61,-208.2,604.2229,66.01,99.9,31.7
62,-207.02,609.5299,68.96,100.0,31.7
63,-196.98,515.0446,65.97,99.9,31.7
64,-208.18,514.976,69.42,99.4,31.7
65,-207.2,587.9892,66.91,99.5,31.8
66,-207.92,554.0265,66.35,99.3,31.8
67,-213.73,593.5854,68.16,100.0,31.8
68,-219.59,616.265,68.7,100.0,31.9
69,-214.33,597.7389,68.2,100.0,31.8
70,-218.27,649.6793,66.89,100.0,31.9
71,-200.81,483.8212,65.08,100.0,31.9
72,-203.61,452.9679,68.05,100.0,31.9
73,-204.25,436.1331,65.48,100.0,31.9
74,-203.94,379.4863,63.91,100.0,31.9
75,-197.4,353.059,65.09,100.0,31.9
76,-218.6,502.6393,65.03,100.0,31.9
77,-205.31,403.1906,67.22,100.0,32.0
78,-201.96,343.8027,67.59,100.0,32.0
79,-217.67,414.8567,68.08,100.0,31.8
80,-219.26,384.365,68.91,100.0,31.9
81,-210.28,376.4065,68.28,100.0,31.9
82,-219.86,464.6601,65.25,100.0,31.9
83,-211.04,399.6996,68.12,100.0,32.0
84,-198.08,289.4705,66.22,100.0,32.0
85,-204.89,302.4409,64.93,100.0,32.0
