Episode,Reward,Critic_Loss,Time_Sec,CPU_Percent,RAM_Percent
1,-14420.22,6431996.75,1.42,98.3,96.3
2,-14463.24,6478775.5,1.48,98.8,95.5
3,-15501.62,6788557.125,1.38,100.0,95.6
4,-14666.59,6571333.625,1.34,100.0,95.6
5,-15629.93,7427171.75,1.34,100.0,95.5
6,-16035.98,7523138.625,1.35,100.0,95.6
7,-16106.67,7692417.625,1.49,100.0,95.4
8,-15926.34,7583661.875,1.42,99.8,95.0
9,-15219.21,6990152.125,1.34,100.0,95.0
10,-15710.97,7193319.0,1.42,100.0,95.1
11,-15642.91,7321200.25,1.33,100.0,95.2
12,-14484.48,6269060.125,1.41,100.0,95.1
13,-15376.18,6987619.25,1.49,90.2,95.0
14,-15535.2,7012990.75,1.47,99.9,94.8
15,-15386.64,6986961.0,1.45,100.0,94.6
16,-16003.7,7455666.0,1.51,100.0,94.3
17,-16494.03,8187311.875,1.48,100.0,93.7
18,-16229.55,7898212.625,1.33,100.0,93.7
19,-15041.06,6988252.625,1.34,100.0,93.7
20,-15866.55,7641636.375,1.36,100.0,93.7
21,-15861.98,7890907.625,1.35,100.0,93.7
22,-15954.97,7370789.5,1.38,100.0,93.1
23,-14709.93,6673708.375,1.3,100.0,93.1
24,-15316.94,7020567.75,1.34,100.0,92.9
25,-15638.99,7246653.625,1.4,100.0,92.8
26,-15889.86,6541776.0,1.53,98.9,92.9
27,-15745.04,7339373.125,1.48,90.9,93.1
28,-16353.34,7733481.625,1.42,100.0,93.1
29,-15697.28,7278670.25,1.44,100.0,93.2
30,-15629.63,7313535.5,1.37,100.0,93.2
31,-15834.4,7473630.625,1.3,100.0,93.0
32,-15715.28,7117172.5,1.45,100.0,93.2
33,-14922.16,7106653.75,1.34,100.0,92.4
34,-15539.26,7023659.375,1.33,100.0,92.3
35,-16094.98,7097605.25,1.44,100.0,92.6
36,-15487.49,7057782.375,1.36,100.0,92.6
37,-15031.28,6934034.625,1.36,100.0,92.5
38,-15396.86,7229810.125,1.49,99.6,92.7
39,-15203.34,6796548.375,1.44,100.0,92.8
40,-14944.09,7068232.25,1.39,100.0,92.8
41,-14561.83,6385533.875,1.34,100.0,92.9
42,-14930.11,6735916.75,1.24,99.6,93.2
43,-15381.18,7148731.625,1.41,100.0,93.1
44,-15638.91,7543047.25,1.51,95.6,92.8
45,-15507.76,7091474.875,1.37,100.0,92.9
46,-15678.85,7333450.0,1.47,100.0,92.8
47,-15312.46,6904230.875,1.49,100.0,92.9
48,-15727.0,7288999.75,1.31,100.0,92.9
49,-15932.55,7650939.0,1.39,100.0,92.9
50,-15679.59,7198568.625,1.44,100.0,93.0
51,-15121.83,6859678.0,1.34,100.0,92.9
52,-15879.84,7773203.5,1.4,100.0,92.9
53,-14903.16,6498656.5,1.28,100.0,93.0
54,-14993.51,6947414.75,1.36,100.0,93.0
55,-15824.18,7340104.625,1.49,97.8,92.9
56,-14710.55,6447737.125,1.37,100.0,93.0
57,-15253.17,6876999.375,1.44,100.0,93.1
58,-15026.09,6875294.5,1.47,96.2,93.2
59,-16009.26,7779314.625,1.34,100.0,93.2
60,-16176.87,7626609.5,1.37,100.0,93.2
61,-15101.64,6960594.0,1.37,100.0,93.2
62,-16131.36,7653630.875,1.39,100.0,93.2
63,-15391.15,7011252.375,1.52,99.5,93.3
64,-14893.58,6746907.0,1.48,99.7,93.3
65,-15586.01,7285035.125,1.35,100.0,93.3
66,-14984.95,6707543.625,1.34,100.0,93.3
67,-14971.07,6900164.25,1.35,100.0,93.3
68,-14788.0,6741720.25,1.38,100.0,93.4
69,-16485.84,8024352.5,1.45,95.3,93.4
70,-14730.74,6685566.25,1.44,99.8,93.4
71,-15494.37,7110450.375,1.46,100.0,93.5
72,-15977.64,7438144.125,1.45,100.0,93.5
73,-15646.91,6505950.75,1.49,100.0,93.8
74,-15295.48,6929261.75,1.3,100.0,93.8
75,-14433.65,6336291.0,1.34,100.0,93.8
76,-15142.56,6790570.375,1.38,100.0,93.8
77,-14440.65,6456373.75,1.41,100.0,93.8
78,-14781.34,6528060.125,1.43,97.7,94.0
79,-15271.85,6540360.0,1.36,100.0,94.0
80,-15228.22,6682369.0,1.36,100.0,94.1
81,-15009.57,6788390.25,1.39,100.0,94.0
82,-15989.66,7495818.875,1.33,100.0,94.0
83,-15826.62,7491287.625,1.39,100.0,94.1
84,-14960.94,7027175.25,1.39,97.1,94.1
85,-15680.38,7271370.25,1.33,100.0,94.1
86,-14875.66,6526613.5,1.32,100.0,94.1
87,-15240.35,6918134.0,1.38,100.0,94.2
88,-15049.34,6855670.5,1.45,100.0,94.2
89,-15347.21,7072597.625,1.52,88.9,94.4
90,-15066.44,6851735.25,1.43,99.3,94.3
91,-16003.05,6901955.75,1.45,100.0,94.4
92,-15217.3,6719373.625,1.42,100.0,94.3
93,-15228.43,6804018.375,1.3,100.0,94.4
94,-14955.93,6638731.125,1.36,100.0,94.5
95,-15718.73,7000268.625,1.42,98.5,94.6
96,-14756.46,6355461.5,1.34,100.0,94.6
97,-14951.7,6591556.75,1.42,100.0,94.6
98,-15875.58,7267546.375,1.41,100.0,94.6
99,-16038.66,7486291.25,1.31,100.0,94.5
100,-15310.06,6854430.25,1.41,100.0,94.6
101,-15688.48,7013189.75,1.44,99.0,94.6
102,-14706.5,6828308.875,1.34,100.0,94.7
103,-15251.28,6812579.125,1.44,100.0,94.7
104,-15265.32,7177212.875,1.34,98.8,94.7
105,-15326.08,6709136.25,1.31,100.0,94.6
106,-15427.41,6695547.125,1.41,100.0,94.7
107,-15520.33,6824282.75,1.53,100.0,94.7
108,-14912.97,6214620.125,1.39,100.0,94.9
109,-15356.15,6851971.625,1.48,97.5,94.7
110,-15840.64,6461305.375,1.61,99.0,94.8
111,-14752.14,6508324.0,1.66,100.0,95.9
112,-15032.4,6621364.625,1.31,100.0,95.7
113,-16261.47,7824001.875,1.36,100.0,95.5
114,-15756.78,7029252.625,1.38,100.0,95.4
115,-15829.47,7095253.0,1.41,100.0,95.1
116,-15635.58,7038386.75,1.39,99.9,94.4
117,-14729.05,6597405.625,1.34,100.0,94.5
118,-15421.64,6809482.125,1.48,100.0,94.5
119,-15871.88,6542097.5,1.44,100.0,94.5
120,-14738.25,6354478.25,1.32,100.0,94.4
121,-15356.31,6890236.875,1.52,96.3,94.0
122,-14701.32,6612231.25,1.4,99.8,93.7
123,-15538.84,6992099.625,1.44,100.0,93.6
124,-15063.22,6257283.5,1.49,98.8,93.4
125,-15567.23,7019449.75,1.45,99.9,93.0
126,-15612.83,6357622.375,1.36,100.0,93.1
127,-14873.92,6779582.125,1.38,100.0,93.1
128,-14282.16,6085317.125,1.35,100.0,93.1
129,-15946.36,7533188.625,1.41,100.0,93.2
130,-15101.69,6797368.0,1.57,93.4,92.6
131,-14574.8,6668445.625,1.46,100.0,92.6
132,-15060.28,6321861.0,1.4,100.0,92.7
133,-14926.61,6455878.75,1.45,100.0,92.5
134,-14796.14,6629875.75,1.26,100.0,92.5
135,-14909.06,6450645.625,1.38,100.0,92.5
136,-15064.25,6624592.875,1.39,98.8,91.8
137,-15122.02,6488292.625,1.31,100.0,91.8
138,-15375.71,7090723.625,1.37,100.0,91.8
139,-14460.07,6178367.375,1.28,100.0,91.8
140,-15013.07,6590781.75,1.35,100.0,91.9
141,-15732.87,7004835.625,1.48,88.2,91.2
142,-15182.25,6949784.875,1.45,99.8,90.6
143,-14728.74,6578491.5,1.42,100.0,90.7
144,-15954.28,7473080.0,1.55,99.9,90.6
145,-14852.76,6428830.5,1.4,100.0,90.6
146,-15404.29,6193936.75,1.33,100.0,90.7
147,-14930.84,6636926.875,1.31,100.0,90.8
148,-15204.8,6847020.0,1.35,100.0,90.8
149,-15271.51,7028492.125,1.42,100.0,91.0
150,-15022.55,6224794.125,1.51,98.9,91.2
151,-14649.9,6286385.625,1.34,100.0,91.0
152,-15218.44,6541763.5,1.34,100.0,91.1
153,-15200.4,6015583.625,1.37,100.0,91.1
154,-15633.87,6834698.25,1.34,100.0,91.2
155,-15226.01,6505036.0,1.43,100.0,91.2
156,-16017.06,6406694.875,1.51,99.5,91.4
157,-15989.77,7215142.75,1.32,100.0,91.5
158,-15301.67,6072056.75,1.4,100.0,91.0
159,-15653.28,6776472.0,1.36,100.0,91.0
160,-15115.44,6522781.5,1.33,100.0,91.0
161,-14594.46,6313181.375,1.44,99.3,91.0
162,-15158.61,6401063.375,1.54,99.1,91.2
163,-14696.78,6411906.5,1.35,100.0,91.4
164,-15096.56,6409229.75,1.41,100.0,91.3
165,-15069.57,6261455.125,1.32,100.0,91.4
166,-14434.23,6184530.625,1.32,100.0,91.5
167,-15080.45,6576635.5,1.45,96.8,91.5
168,-15384.33,6559108.375,1.35,100.0,90.9
169,-15642.57,6999603.25,1.43,100.0,91.0
170,-15030.01,6430798.75,1.47,98.5,91.4
171,-15326.38,6980172.125,1.34,100.0,91.6
172,-14732.51,6258516.5,1.36,100.0,91.8
173,-14644.88,6396622.375,1.33,100.0,91.9
174,-14946.63,6530320.625,1.36,100.0,92.0
175,-15238.82,6645608.125,1.55,96.3,91.6
176,-14998.27,6742957.25,1.5,100.0,91.6
177,-14540.26,6302370.75,1.3,100.0,90.8
178,-15211.78,6535394.625,1.34,100.0,90.8
179,-15250.98,6775196.125,1.3,100.0,90.9
180,-15262.89,5995471.75,1.4,100.0,91.0
181,-15018.35,6652833.0,1.43,100.0,91.1
182,-15861.45,6594213.25,1.35,100.0,91.1
183,-16005.15,7142080.375,1.37,100.0,91.1
184,-14550.51,6172095.625,1.29,100.0,90.9
185,-15345.02,6823274.25,1.32,100.0,90.9
186,-15078.28,6610337.0,1.42,99.0,91.1
187,-15189.37,6487758.0,1.46,99.5,91.0
188,-15917.02,6221903.25,1.4,100.0,91.1
189,-14680.03,6380864.5,1.42,100.0,91.2
190,-14870.49,6235284.625,1.27,100.0,91.1
191,-15937.57,6896234.5,1.36,100.0,91.1
192,-14705.46,6314353.625,1.38,98.8,91.2
193,-15657.37,6274041.375,1.42,100.0,91.1
