Episode,Reward,Critic_Loss,Time_Sec,CPU_Percent,RAM_Percent
1,-231.44,1656.6243,32.23,100.0,31.5
2,-238.37,1726.4054,11.94,99.8,31.5
3,-256.02,1755.2238,36.82,98.3,31.5
4,-237.21,1597.3528,32.3,100.0,31.6
5,-237.25,1590.8779,33.27,100.0,31.5
6,-234.13,1513.4525,33.93,100.0,31.6
7,-227.7,1579.8498,34.09,100.0,31.6
8,-233.67,1623.7591,32.95,100.0,31.6
9,-234.94,1593.0545,33.39,99.8,31.7
10,-228.92,1549.5975,34.27,100.0,31.7
11,-231.95,1535.4064,33.36,99.9,31.7
12,-243.62,1609.563,33.08,100.0,31.7
13,-238.07,1681.4687,32.67,99.8,31.7
14,-238.45,1511.4353,33.52,100.0,31.7
15,-231.71,1509.0798,34.3,98.9,31.8
16,-233.02,1550.0075,33.11,100.0,31.8
17,-239.1,1530.8195,29.63,98.8,31.8
18,-219.9,1387.0799,33.03,100.0,31.8
19,-244.39,1555.9512,5.18,99.1,31.7
20,-240.26,1736.842,32.38,98.8,31.8
21,-247.78,1702.619,31.56,100.0,31.8
22,-226.93,1440.5166,33.45,100.0,31.8
23,-235.77,1551.0403,32.76,100.0,31.9
24,-238.77,1750.6364,31.15,100.0,31.9
25,-234.87,1469.9615,30.61,100.0,31.9
26,-242.43,1539.4838,32.33,100.0,31.9
27,-238.91,1598.9121,32.47,100.0,31.9
28,-225.05,1398.3727,30.24,100.0,31.9
29,-241.06,1669.6964,32.11,100.0,31.9
30,-253.66,1653.8679,30.51,100.0,31.9
31,-227.86,1423.7241,33.83,100.0,31.9
32,-246.84,1444.6739,27.66,100.0,31.9
33,-232.61,1427.9229,34.19,100.0,31.9
34,-223.71,1336.3663,31.57,100.0,31.9
35,-248.92,1727.1215,34.08,100.0,31.9
36,-234.02,1434.2396,31.12,100.0,31.9
37,-239.38,1496.261,33.67,100.0,31.9
38,-241.88,1478.258,30.77,100.0,31.9
39,-246.2,1458.2459,32.83,100.0,31.9
40,-240.53,1497.4353,31.89,100.0,31.9
41,-234.09,1391.531,34.34,100.0,31.9
42,-230.86,1369.1865,32.86,100.0,31.9
43,-240.69,1490.0131,32.32,100.0,32.0
44,-259.21,1449.2575,32.96,100.0,32.0
45,-227.33,1201.9808,32.88,100.0,32.0
46,-228.74,1139.1185,30.89,100.0,32.0
47,-231.41,1287.1538,32.22,100.0,31.9
48,-241.33,1322.2245,31.68,100.0,31.9
49,-229.51,1085.3758,32.63,100.0,31.9
50,-233.5,1178.7362,34.24,100.0,31.9
51,-229.87,1185.566,32.39,100.0,31.9
52,-243.25,1407.0798,31.95,100.0,31.8
53,-230.4,1202.188,31.18,100.0,31.9
54,-247.78,1381.5035,33.28,100.0,32.0
55,-261.32,1489.6035,32.47,100.0,32.0
56,-228.1,1148.1087,32.41,100.0,32.0
57,-238.51,1223.2947,32.08,100.0,32.0
58,-229.47,1099.2404,31.95,100.0,32.0
59,-240.02,1119.4555,31.36,100.0,32.0
