Episode,Reward,Critic_Loss,Time_Sec,CPU_Percent,RAM_Percent
1,-6375.63,11839308.75,0.79,32.4,63.2
2,-3751.62,3920839.1875,0.73,42.3,63.4
3,-5599.55,8092844.0,0.78,48.2,63.4
4,-2976.07,3226152.25,0.69,43.4,63.2
5,-4686.87,5658976.625,0.74,38.6,63.3
6,-5919.16,10910019.75,0.77,44.4,62.4
7,-2542.45,1981105.7188,0.71,39.2,62.6
8,-4504.22,5752181.75,0.76,44.1,62.7
9,-6124.85,9046678.25,0.77,41.4,62.7
10,-3272.32,3610644.5,0.7,37.6,62.7
11,-3546.06,3542087.1875,0.7,40.9,62.4
12,-5850.9,8424665.5,0.76,40.0,62.5
13,-5554.18,7756374.0,0.75,36.1,62.5
14,-6375.74,13047077.5,0.75,41.3,62.5
15,-6421.29,9899603.25,0.77,41.8,62.6
16,-5052.18,6680784.25,0.74,45.8,62.4
17,-4686.91,8210909.0,0.73,36.9,62.5
18,-5553.94,7744388.25,0.76,42.3,62.6
19,-6877.79,11343312.75,0.82,47.2,62.6
20,-5553.9,8208119.25,0.75,39.7,62.6
21,-3911.04,4316270.375,0.71,50.6,62.4
22,-5325.83,9735193.25,0.77,42.2,62.4
23,-3477.88,3415808.75,0.75,43.1,62.4
24,-5097.62,9067972.0,0.74,41.9,62.4
25,-4801.09,6650016.125,0.8,48.3,63.0
26,-2907.38,2462540.6875,0.77,49.3,63.7
27,-4162.35,6468285.625,0.73,53.1,64.0
28,-5212.15,7004946.875,0.76,43.4,63.9
29,-3546.09,4620583.0,0.75,56.7,63.9
30,-5736.48,8935733.25,0.75,39.4,63.9
31,-4504.29,5295736.25,0.73,43.1,63.7
32,-4070.98,4769453.0,0.74,42.9,63.8
33,-2200.63,1612161.375,0.71,38.2,63.8
34,-3751.62,4730046.625,0.72,37.2,63.8
35,-5919.17,11024578.5,0.74,39.8,63.3
36,-4573.12,5446927.5,0.72,39.2,63.3
37,-3021.67,2737651.3125,0.71,44.7,63.2
38,-6809.55,11044658.5,0.78,44.8,63.3
39,-5371.39,8959213.75,0.75,39.3,63.4
40,-4572.93,5641015.0,0.75,41.8,63.4
41,-4823.71,6025283.625,0.74,40.7,63.3
42,-7174.84,11996920.0,0.8,47.9,63.4
43,-4732.6,5804494.375,0.78,38.7,63.4
44,-4093.68,6583220.625,0.72,35.5,63.4
45,-6740.79,11764506.75,0.82,45.9,63.5
46,-3637.31,3675309.1875,0.71,39.3,63.5
47,-5029.43,8992504.5,0.74,41.0,63.5
48,-5257.48,7222176.0,0.73,38.4,63.5
49,-4801.09,6451480.0,0.73,39.8,63.2
50,-4983.76,6281284.75,0.78,43.4,63.1
51,-4686.76,6315716.125,0.74,43.0,63.2
52,-4093.56,5369571.875,0.72,43.5,63.2
53,-3386.68,4367685.625,0.72,35.0,63.3
54,-3751.62,3903322.875,0.73,40.5,63.2
55,-3842.92,3959986.5,0.73,38.3,63.2
56,-4070.99,4596744.0,0.73,42.6,63.2
57,-4002.4,6143440.125,0.73,41.9,63.2
58,-3386.62,3746394.9375,0.71,38.5,63.3
59,-5212.15,10967986.5,0.78,43.9,63.3
60,-5257.57,9017345.5,0.76,43.5,63.2
61,-5462.79,10415505.25,0.77,40.0,63.2
62,-4686.82,7273407.25,0.75,41.1,63.2
63,-3842.86,4630990.875,0.73,39.4,63.0
64,-4208.05,7186485.125,0.73,39.9,63.0
65,-4162.29,4596063.625,0.75,46.7,62.1
66,-4938.07,6197636.375,0.78,44.5,62.1
67,-3888.59,5925194.125,0.74,42.7,62.2
68,-3272.33,3703752.5,0.7,37.2,62.2
69,-2907.38,2443012.1875,0.72,47.6,62.2
70,-3546.04,3596134.3125,0.73,41.9,62.2
71,-3751.62,4632426.75,0.72,42.0,62.5
72,-3226.73,2899586.75,0.71,41.3,62.5
73,-4276.07,4987616.25,0.78,45.0,62.6
74,-4390.42,5101317.625,0.73,44.9,62.7
75,-3477.86,3569534.625,0.7,42.7,62.7
76,-4983.68,7677653.125,0.74,41.1,62.7
77,-3204.15,3508326.9375,0.74,41.2,62.5
78,-7060.39,12303602.25,0.79,40.1,62.6
79,-5325.92,10531630.5,0.77,44.3,62.6
80,-5850.9,8367414.125,0.8,49.3,62.5
81,-3842.87,4051064.25,0.74,41.3,62.5
82,-2086.35,1465200.7188,0.67,34.9,62.6
